coding genes	lncRNA	Pcc
ENSMUSG00000000028.15	ENSMUSG00000104253.1	0.000538351806502
ENSMUSG00000000049.11	ENSMUSG00000103722.1	0.00527617332621
ENSMUSG00000000056.7	ENSMUSG00000108713.1	0.00562683857115
ENSMUSG00000000088.7	ENSMUSG00000066170.6	0.000297265644242
ENSMUSG00000000127.14	ENSMUSG00000111994.1	0.0076734027363
ENSMUSG00000000134.17	ENSMUSG00000097699.2	0.00112838651345
ENSMUSG00000000148.17	ENSMUSG00000097079.2	0.00333992752969
ENSMUSG00000000194.13	ENSMUSG00000115570.1	0.000722961760486
ENSMUSG00000000202.9	ENSMUSG00000103739.1	0.00361252226805
ENSMUSG00000000215.11	ENSMUSG00000085182.1	5.81012584804e-27
ENSMUSG00000000215.11	ENSMUSG00000086417.1	1.37439916123e-41
ENSMUSG00000000247.11	ENSMUSG00000079499.9	3.35920677474e-05
ENSMUSG00000000253.13	ENSMUSG00000084898.1	0.00525426002618
ENSMUSG00000000275.16	ENSMUSG00000108207.2	0.00841921940408
ENSMUSG00000000290.13	ENSMUSG00000110273.1	0.00191895139434
ENSMUSG00000000301.16	ENSMUSG00000107060.1	0.000191998274688
ENSMUSG00000000318.16	ENSMUSG00000087305.8	0.00525343487656
ENSMUSG00000000359.3	ENSMUSG00000097564.2	0.000117717817655
ENSMUSG00000000359.3	ENSMUSG00000116220.1	0.000733662824219
ENSMUSG00000000378.15	ENSMUSG00000099843.1	0.00102172067632
ENSMUSG00000000386.15	ENSMUSG00000085024.1	0.00992572923273
ENSMUSG00000000402.2	ENSMUSG00000093675.7	0.00243044406998
ENSMUSG00000000402.2	ENSMUSG00000108780.1	0.000396194595708
ENSMUSG00000000489.7	ENSMUSG00000104868.1	0.000534067713469
ENSMUSG00000000531.5	ENSMUSG00000114835.1	0.00249728674696
ENSMUSG00000000538.18	ENSMUSG00000102649.1	0.00215072322877
ENSMUSG00000000560.9	ENSMUSG00000108472.1	0.00126064965971
ENSMUSG00000000579.14	ENSMUSG00000073394.4	3.01262788656e-07
ENSMUSG00000000600.15	ENSMUSG00000103722.1	5.82573098896e-05
ENSMUSG00000000711.3	ENSMUSG00000104873.1	0.000363240807829
ENSMUSG00000000753.15	ENSMUSG00000073073.4	0.0066521117129
ENSMUSG00000000759.14	ENSMUSG00000085889.1	1.03256359449e-08
ENSMUSG00000000759.14	ENSMUSG00000107164.1	2.55761829157e-08
ENSMUSG00000000759.14	ENSMUSG00000107825.1	0.00600632284617
ENSMUSG00000000759.14	ENSMUSG00000113210.1	0.00405869183563
ENSMUSG00000000759.14	ENSMUSG00000115240.1	0.00540149512283
ENSMUSG00000000776.13	ENSMUSG00000109209.1	0.00437453051831
ENSMUSG00000000792.2	ENSMUSG00000073867.2	0.000612074503162
ENSMUSG00000000804.14	ENSMUSG00000063018.6	0.00157911539586
ENSMUSG00000000804.14	ENSMUSG00000112280.1	0.000944162584646
ENSMUSG00000000805.18	ENSMUSG00000115441.1	0.000258620536353
ENSMUSG00000000838.17	ENSMUSG00000097248.9	0.000601278920498
ENSMUSG00000000876.11	ENSMUSG00000084876.7	0.00752944092707
ENSMUSG00000000876.11	ENSMUSG00000097640.7	0.00240114263161
ENSMUSG00000000876.11	ENSMUSG00000103215.1	0.00753367518937
ENSMUSG00000000934.9	ENSMUSG00000101565.2	0.0013777869778
ENSMUSG00000000976.13	ENSMUSG00000107535.1	0.000102125198437
ENSMUSG00000001017.15	ENSMUSG00000054457.5	0.00160705784759
ENSMUSG00000001017.15	ENSMUSG00000102503.1	1.6086048569e-05
ENSMUSG00000001018.15	ENSMUSG00000113966.1	0.00465331578672
ENSMUSG00000001036.17	ENSMUSG00000097566.1	0.00112232543128
ENSMUSG00000001036.17	ENSMUSG00000104587.1	0.000949893424891
ENSMUSG00000001056.3	ENSMUSG00000108478.1	2.82896349268e-05
ENSMUSG00000001119.7	ENSMUSG00000097250.1	5.93336518715e-05
ENSMUSG00000001120.15	ENSMUSG00000087692.1	0.00503135688618
ENSMUSG00000001120.15	ENSMUSG00000105771.1	0.00814929853557
ENSMUSG00000001127.12	ENSMUSG00000108389.1	0.00111718073173
ENSMUSG00000001138.13	ENSMUSG00000105992.1	0.007174066269
ENSMUSG00000001143.13	ENSMUSG00000115317.1	0.00188840177362
ENSMUSG00000001151.10	ENSMUSG00000110427.1	9.50362702193e-05
ENSMUSG00000001156.9	ENSMUSG00000107879.1	2.03563737718e-06
ENSMUSG00000001156.9	ENSMUSG00000110758.1	0.00999285318478
ENSMUSG00000001157.13	ENSMUSG00000086804.8	0.00776771151298
ENSMUSG00000001240.13	ENSMUSG00000085586.1	0.000321505167608
ENSMUSG00000001260.10	ENSMUSG00000108093.1	0.00931765060831
ENSMUSG00000001281.10	ENSMUSG00000093732.1	2.45902346734e-06
ENSMUSG00000001281.10	ENSMUSG00000097912.1	0.00033966777617
ENSMUSG00000001424.14	ENSMUSG00000084910.1	0.00391691574791
ENSMUSG00000001424.14	ENSMUSG00000097867.1	0.00637607703036
ENSMUSG00000001435.15	ENSMUSG00000108795.1	0.00839767330214
ENSMUSG00000001507.16	ENSMUSG00000084876.7	0.00663542463654
ENSMUSG00000001507.16	ENSMUSG00000103215.1	0.00663105721552
ENSMUSG00000001542.7	ENSMUSG00000075555.12	0.000186259804281
ENSMUSG00000001576.14	ENSMUSG00000097643.1	0.00248314454388
ENSMUSG00000001630.13	ENSMUSG00000097107.1	4.14910606317e-07
ENSMUSG00000001632.16	ENSMUSG00000097006.7	0.000610774544403
ENSMUSG00000001700.9	ENSMUSG00000086782.2	0.00651392169421
ENSMUSG00000001707.8	ENSMUSG00000092353.1	0.00786640240532
ENSMUSG00000001755.12	ENSMUSG00000113047.1	0.000492754927117
ENSMUSG00000001761.7	ENSMUSG00000095334.2	0.0051344451934
ENSMUSG00000001783.3	ENSMUSG00000106706.1	0.00136119749772
ENSMUSG00000001786.14	ENSMUSG00000100480.1	0.000224815869618
ENSMUSG00000001827.12	ENSMUSG00000115340.1	0.00234261996317
ENSMUSG00000001909.16	ENSMUSG00000116125.1	0.00283838312316
ENSMUSG00000001910.4	ENSMUSG00000108246.1	0.00185713930547
ENSMUSG00000001924.15	ENSMUSG00000106019.1	0.000100803845657
ENSMUSG00000001942.8	ENSMUSG00000105842.1	0.00142831468437
ENSMUSG00000001942.8	ENSMUSG00000106757.1	0.000745784133217
ENSMUSG00000001943.8	ENSMUSG00000069713.2	0.00190797803795
ENSMUSG00000001948.10	ENSMUSG00000087226.1	0.00626862594581
ENSMUSG00000001964.14	ENSMUSG00000074136.9	0.000469368081377
ENSMUSG00000001964.14	ENSMUSG00000108741.1	0.000465044950684
ENSMUSG00000001986.16	ENSMUSG00000097823.2	0.000277517552215
ENSMUSG00000002007.5	ENSMUSG00000039798.2	5.35597092171e-05
ENSMUSG00000002007.5	ENSMUSG00000072592.2	3.71788172363e-05
ENSMUSG00000002007.5	ENSMUSG00000086827.1	5.22806957832e-05
ENSMUSG00000002007.5	ENSMUSG00000111532.1	2.98551239386e-05
ENSMUSG00000002010.17	ENSMUSG00000104039.1	3.27595136504e-07
ENSMUSG00000002052.6	ENSMUSG00000103343.1	0.00619580652916
ENSMUSG00000002055.9	ENSMUSG00000100811.1	0.00160737562818
ENSMUSG00000002055.9	ENSMUSG00000105285.1	0.00606483885306
ENSMUSG00000002076.11	ENSMUSG00000112008.1	1.36927799731e-05
ENSMUSG00000002105.15	ENSMUSG00000054457.5	8.61369211709e-07
ENSMUSG00000002105.15	ENSMUSG00000102503.1	0.000801148297353
ENSMUSG00000002107.18	ENSMUSG00000098708.7	0.00302529847737
ENSMUSG00000002107.18	ENSMUSG00000104507.1	0.000899737617332
ENSMUSG00000002147.18	ENSMUSG00000100166.1	0.00189383585897
ENSMUSG00000002190.13	ENSMUSG00000107743.1	4.97136922597e-05
ENSMUSG00000002222.14	ENSMUSG00000097049.1	0.00248908967095
ENSMUSG00000002265.16	ENSMUSG00000106432.1	0.00429283781428
ENSMUSG00000002329.7	ENSMUSG00000055972.5	0.00793377636286
ENSMUSG00000002329.7	ENSMUSG00000073000.3	0.00835224899654
ENSMUSG00000002329.7	ENSMUSG00000085622.9	4.03204104524e-06
ENSMUSG00000002341.8	ENSMUSG00000087042.1	0.000485818362898
ENSMUSG00000002343.11	ENSMUSG00000100600.6	0.00213830410606
ENSMUSG00000002343.11	ENSMUSG00000114749.1	7.79489618135e-05
ENSMUSG00000002413.15	ENSMUSG00000085051.1	0.000315856300398
ENSMUSG00000002455.14	ENSMUSG00000109224.1	0.00523922369155
ENSMUSG00000002475.15	ENSMUSG00000097882.2	0.000162962232244
ENSMUSG00000002500.15	ENSMUSG00000109708.1	6.18415372048e-05
ENSMUSG00000002578.17	ENSMUSG00000098120.1	0.000310978900569
ENSMUSG00000002580.7	ENSMUSG00000097591.1	0.00165063305227
ENSMUSG00000002718.14	ENSMUSG00000060424.14	0.00856615922462
ENSMUSG00000002741.9	ENSMUSG00000099715.2	0.000828257874813
ENSMUSG00000002741.9	ENSMUSG00000103925.1	0.00391087795836
ENSMUSG00000002741.9	ENSMUSG00000106270.1	0.000531199395872
ENSMUSG00000002741.9	ENSMUSG00000111756.1	0.00252345346172
ENSMUSG00000002741.9	ENSMUSG00000114163.1	0.000812614333523
ENSMUSG00000002741.9	ENSMUSG00000116551.1	0.000776082136365
ENSMUSG00000002781.19	ENSMUSG00000097149.1	0.000722768348503
ENSMUSG00000002814.15	ENSMUSG00000113429.1	0.00263307447927
ENSMUSG00000002831.13	ENSMUSG00000104735.1	0.00697122936552
ENSMUSG00000002846.9	ENSMUSG00000104736.1	0.00201319583686
ENSMUSG00000002910.11	ENSMUSG00000089881.1	1.41706821552e-05
ENSMUSG00000002910.11	ENSMUSG00000107458.1	0.00148658762602
ENSMUSG00000002948.19	ENSMUSG00000112905.1	2.02336940126e-05
ENSMUSG00000002957.11	ENSMUSG00000087168.1	1.79040933295e-06
ENSMUSG00000002980.14	ENSMUSG00000091378.1	0.0074534356618
ENSMUSG00000002981.10	ENSMUSG00000086289.3	0.000213174455822
ENSMUSG00000002984.17	ENSMUSG00000074357.3	7.72012255877e-06
ENSMUSG00000003031.14	ENSMUSG00000108238.1	0.000363722312035
ENSMUSG00000003032.8	ENSMUSG00000084941.1	0.00476659506671
ENSMUSG00000003070.6	ENSMUSG00000104374.1	0.000934758164899
ENSMUSG00000003123.15	ENSMUSG00000084890.1	0.00245401872161
ENSMUSG00000003154.15	ENSMUSG00000097207.7	0.000384982651499
ENSMUSG00000003161.15	ENSMUSG00000103545.1	0.00769950996687
ENSMUSG00000003200.9	ENSMUSG00000085039.2	0.000182421021016
ENSMUSG00000003233.12	ENSMUSG00000104064.1	0.000409806608671
ENSMUSG00000003235.13	ENSMUSG00000109157.1	0.00490626042734
ENSMUSG00000003316.14	ENSMUSG00000112905.1	0.00884497907579
ENSMUSG00000003344.14	ENSMUSG00000109257.1	0.00679094710908
ENSMUSG00000003346.14	ENSMUSG00000097911.2	0.000216126561755
ENSMUSG00000003352.14	ENSMUSG00000085508.1	0.00216838421696
ENSMUSG00000003352.14	ENSMUSG00000104291.1	4.13326171587e-08
ENSMUSG00000003437.14	ENSMUSG00000103991.1	0.00464889372554
ENSMUSG00000003438.17	ENSMUSG00000073590.3	0.00838262715193
ENSMUSG00000003469.9	ENSMUSG00000087024.1	0.00232201127222
ENSMUSG00000003469.9	ENSMUSG00000092258.2	7.54408154127e-07
ENSMUSG00000003469.9	ENSMUSG00000111531.1	6.60281967829e-07
ENSMUSG00000003484.4	ENSMUSG00000033015.16	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000037910.2	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000040657.3	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000055159.7	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000073144.4	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085249.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085278.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085377.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085395.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085400.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085429.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085431.7	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085472.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000085578.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000086459.2	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000086549.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000086561.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000086643.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000086648.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000086713.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000086913.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000087011.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000087211.7	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000087277.1	0.00168347128287
ENSMUSG00000003484.4	ENSMUSG00000087524.1	0.00168347128287
