density	name	class
1	ENSG00000004897.11__47141883__47141913__96	up
2	ENSG00000104723.20__15540418__15540448__14	up
2	ENSG00000115758.12__10441554__10441584__100	up
6	ENSG00000129965.14__2132205__2132235__121	up
4	ENSG00000132849.19__61822960__61822990__115	up
2	ENSG00000139318.7__89352450__89352480__55	up
2	ENSG00000139318.7__89352465__89352495__56	up
5	ENSG00000142208.15__104775525__104775555__139	up
2	ENSG00000148411.7__136009222__136009252__271	up
2	ENSG00000162378.12__52726599__52726629__7	up
1	ENSG00000167244.18__2130807__2130837__210	up
6	ENSG00000167244.18__2130837__2130867__212	up
5	ENSG00000167244.18__2130912__2130942__217	up
6	ENSG00000167244.18__2131227__2131257__238	up
6	ENSG00000167244.18__2132202__2132232__303	up
5	ENSG00000167996.15__61965077__61965107__39	up
5	ENSG00000197249.13__94378577__94378607__229	up
1	ENSG00000199200.2__34201979__34202009__1	up
1	ENSG00000199200.2__34201994__34202024__2	up
3	ENSG00000199223.1__6572986__6573016__3	up
2	ENSG00000199347.1__11908167__11908197__2	up
2	ENSG00000199347.1__11908182__11908212__3	up
2	ENSG00000199347.1__11908197__11908227__4	up
2	ENSG00000199347.1__11908212__11908242__5	up
3	ENSG00000199347.1__11908227__11908257__6	up
7	ENSG00000199574.1__66501250__66501280__1	up
3	ENSG00000199574.1__66501310__66501318__4	up
1	ENSG00000199631.1__49490615__49490645__1	up
1	ENSG00000199631.1__49490630__49490660__2	up
7	ENSG00000199673.1__66502872__66502902__5	up
4	ENSG00000199673.1__66502902__66502910__6	up
4	ENSG00000199744.1__133350456__133350486__1	up
3	ENSG00000199744.1__133350471__133350501__2	up
3	ENSG00000199753.1__64146083__64146113__1	up
13	ENSG00000199961.1__76561109__76561139__1	up
12	ENSG00000199961.1__76561124__76561154__2	up
1	ENSG00000200084.1__89561449__89561479__2	up
1	ENSG00000200084.1__89561464__89561494__3	up
1	ENSG00000200087.1__28508559__28508589__1	up
1	ENSG00000200156.1__65304722__65304752__4	up
1	ENSG00000200156.1__65304737__65304767__5	up
2	ENSG00000200259.1__49491175__49491205__1	up
1	ENSG00000200259.1__49491190__49491220__2	up
1	ENSG00000200259.1__49491205__49491235__3	up
4	ENSG00000200320.1__186787375__186787405__6	up
4	ENSG00000200320.1__186787390__186787420__7	up
1	ENSG00000200354.1__38433985__38433998__8	up
4	ENSG00000200463.1__8173454__8173484__1	up
4	ENSG00000200463.1__8173469__8173499__2	up
5	ENSG00000200463.1__8173484__8173514__3	up
5	ENSG00000200463.1__8173499__8173529__4	up
7	ENSG00000200463.1__8173544__8173574__7	up
7	ENSG00000200530.1__49497720__49497750__1	up
8	ENSG00000200530.1__49497735__49497765__2	up
8	ENSG00000200530.1__49497750__49497780__3	up
1	ENSG00000200615.1__33004250__33004280__1	up
1	ENSG00000200615.1__33004265__33004295__2	up
1	ENSG00000200623.1__66503273__66503303__3	up
1	ENSG00000200623.1__66503303__66503314__4	up
5	ENSG00000200785.1__21397397__21397401__7	up
1	ENSG00000200792.1__32377292__32377322__8	up
1	ENSG00000200795.1__120293112__120293142__2	up
1	ENSG00000200795.1__120293127__120293157__3	up
6	ENSG00000200831.1__133350110__133350140__2	up
6	ENSG00000200831.1__133350125__133350155__3	up
3	ENSG00000200879.1__123058152__123058161__5	up
7	ENSG00000200913.1__44776490__44776520__1	up
8	ENSG00000200913.1__44776505__44776535__2	up
6	ENSG00000200913.1__44776535__44776565__4	up
5	ENSG00000200913.1__44776550__44776580__5	up
7	ENSG00000201403.1__17075854__17075868__5	up
8	ENSG00000201487.1__75789477__75789507__1	up
8	ENSG00000201487.1__75789492__75789522__2	up
3	ENSG00000201512.1__38429790__38429803__8	up
1	ENSG00000201555.1__31778892__31778905__5	up
2	ENSG00000201675.1__49489965__49489995__1	up
2	ENSG00000201675.1__49489980__49490010__2	up
2	ENSG00000201675.1__49489995__49490025__3	up
2	ENSG00000201675.1__49490010__49490040__4	up
2	ENSG00000201754.1__31837076__31837106__1	up
2	ENSG00000201754.1__31837091__31837121__2	up
1	ENSG00000201754.1__31837106__31837136__3	up
3	ENSG00000201772.1__45104906__45104936__1	up
2	ENSG00000201772.1__45104921__45104951__2	up
2	ENSG00000201772.1__45104936__45104966__3	up
2	ENSG00000201772.1__45104951__45104981__4	up
1	ENSG00000201772.1__45105041__45105042__9	up
6	ENSG00000201785.1__31536389__31536419__2	up
5	ENSG00000201785.1__31536404__31536434__3	up
5	ENSG00000201785.1__31536419__31536449__4	up
15	ENSG00000201823.1__31835263__31835293__1	up
16	ENSG00000201823.1__31835278__31835308__2	up
16	ENSG00000201823.1__31835293__31835323__3	up
13	ENSG00000201882.1__20136126__20136135__4	up
1	ENSG00000202035.1__73403788__73403818__1	up
5	ENSG00000202093.1__49489260__49489290__2	up
5	ENSG00000202093.1__49489305__49489308__4	up
3	ENSG00000202252.1__123059350__123059380__2	up
2	ENSG00000202252.1__123059365__123059395__3	up
4	ENSG00000202252.1__123059380__123059410__4	up
3	ENSG00000202252.1__123059410__123059422__5	up
9	ENSG00000202363.1__39411054__39411084__1	up
